Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
SRR22134162_2	(63, 6.0)	(64, 36.0)	(65, 168.0)	(66, 492.0)	(67, 296.0)	(68, 38.0)	(69, 213.0)	(70, 2520.0)	(71, 20077.0)	(72, 82962.0)	(73, 399754.0)	(74, 1538450.0)	(75, 5956940.0)	(76, 16262270.0)																												
SRR22134162_2_paired	(36, 23972.0)	(37, 24107.0)	(38, 24232.0)	(39, 23142.0)	(40, 23860.0)	(41, 23411.0)	(42, 23340.0)	(43, 24315.0)	(44, 24049.0)	(45, 23644.0)	(46, 23216.0)	(47, 22868.0)	(48, 23335.0)	(49, 22851.0)	(50, 23350.0)	(51, 22754.0)	(52, 22459.0)	(53, 22713.0)	(54, 22129.0)	(55, 22307.0)	(56, 21662.0)	(57, 22175.0)	(58, 22141.0)	(59, 21996.0)	(60, 22791.0)	(61, 24121.0)	(62, 24711.0)	(63, 24594.0)	(64, 26785.0)	(65, 26686.0)	(66, 26427.0)	(67, 26857.0)	(68, 27567.0)	(69, 27963.0)	(70, 30329.0)	(71, 48339.0)	(72, 114078.0)	(73, 428083.0)	(74, 1535297.0)	(75, 5517457.0)	(76, 14141054.0)	
SRR22134163_1	(35, 1.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 1.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 2.0)	(62, 0.0)	(63, 7.0)	(64, 34.0)	(65, 143.0)	(66, 647.0)	(67, 566.0)	(68, 875.0)	(69, 229.0)	(70, 1772.0)	(71, 49847.0)	(72, 108055.0)	(73, 525826.0)	(74, 1562549.0)	(75, 5273263.0)	(76, 15323078.0)
SRR22134163_1_paired	(36, 13142.0)	(37, 14182.0)	(38, 14431.0)	(39, 15187.0)	(40, 15972.0)	(41, 16842.0)	(42, 17399.0)	(43, 18132.0)	(44, 19768.0)	(45, 22338.0)	(46, 25514.0)	(47, 28220.0)	(48, 29293.0)	(49, 29043.0)	(50, 27567.0)	(51, 26689.0)	(52, 24810.0)	(53, 22198.0)	(54, 20376.0)	(55, 18373.0)	(56, 16853.0)	(57, 15955.0)	(58, 14710.0)	(59, 13737.0)	(60, 12973.0)	(61, 12354.0)	(62, 11880.0)	(63, 11600.0)	(64, 11234.0)	(65, 10775.0)	(66, 11063.0)	(67, 11190.0)	(68, 11055.0)	(69, 10617.0)	(70, 11842.0)	(71, 58780.0)	(72, 115091.0)	(73, 519049.0)	(74, 1516479.0)	(75, 5148297.0)	(76, 13477862.0)	
SRR22134163_2	(41, 1.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 2.0)	(64, 35.0)	(65, 161.0)	(66, 732.0)	(67, 559.0)	(68, 937.0)	(69, 226.0)	(70, 2151.0)	(71, 17379.0)	(72, 74654.0)	(73, 348487.0)	(74, 1252657.0)	(75, 5362876.0)	(76, 15786038.0)						
SRR22134163_2_paired	(36, 20936.0)	(37, 21655.0)	(38, 21723.0)	(39, 20851.0)	(40, 21370.0)	(41, 21751.0)	(42, 21379.0)	(43, 22297.0)	(44, 22249.0)	(45, 21846.0)	(46, 21352.0)	(47, 21301.0)	(48, 21238.0)	(49, 20805.0)	(50, 21505.0)	(51, 20768.0)	(52, 20757.0)	(53, 21128.0)	(54, 20438.0)	(55, 20448.0)	(56, 20326.0)	(57, 20715.0)	(58, 20247.0)	(59, 20295.0)	(60, 20565.0)	(61, 21240.0)	(62, 21839.0)	(63, 21794.0)	(64, 23115.0)	(65, 22703.0)	(66, 23822.0)	(67, 23553.0)	(68, 24918.0)	(69, 23310.0)	(70, 25958.0)	(71, 41811.0)	(72, 101838.0)	(73, 373690.0)	(74, 1257995.0)	(75, 5003498.0)	(76, 13903843.0)	
SRR22134164_1	(63, 3.0)	(64, 26.0)	(65, 200.0)	(66, 1159.0)	(67, 968.0)	(68, 2488.0)	(69, 273.0)	(70, 2134.0)	(71, 19907.0)	(72, 92559.0)	(73, 490280.0)	(74, 1705824.0)	(75, 5784372.0)	(76, 16416054.0)																												
SRR22134164_1_paired	(36, 14628.0)	(37, 15531.0)	(38, 15521.0)	(39, 16987.0)	(40, 17801.0)	(41, 18855.0)	(42, 20248.0)	(43, 21751.0)	(44, 23936.0)	(45, 28560.0)	(46, 35159.0)	(47, 39796.0)	(48, 41881.0)	(49, 41984.0)	(50, 39812.0)	(51, 38946.0)	(52, 36081.0)	(53, 32496.0)	(54, 28765.0)	(55, 25008.0)	(56, 22632.0)	(57, 20628.0)	(58, 19035.0)	(59, 17791.0)	(60, 16181.0)	(61, 15554.0)	(62, 14266.0)	(63, 13891.0)	(64, 13746.0)	(65, 13341.0)	(66, 13884.0)	(67, 14127.0)	(68, 15383.0)	(69, 13070.0)	(70, 14283.0)	(71, 30814.0)	(72, 97507.0)	(73, 478810.0)	(74, 1629573.0)	(75, 5542903.0)	(76, 14124604.0)	
SRR22134164_2	(63, 4.0)	(64, 38.0)	(65, 197.0)	(66, 1347.0)	(67, 1088.0)	(68, 3021.0)	(69, 299.0)	(70, 2677.0)	(71, 21508.0)	(72, 93476.0)	(73, 391856.0)	(74, 1402178.0)	(75, 5756726.0)	(76, 16841832.0)																												
SRR22134164_2_paired	(36, 28594.0)	(37, 29329.0)	(38, 29262.0)	(39, 28395.0)	(40, 29370.0)	(41, 29216.0)	(42, 29049.0)	(43, 29928.0)	(44, 30137.0)	(45, 30374.0)	(46, 29663.0)	(47, 29794.0)	(48, 29486.0)	(49, 29376.0)	(50, 29029.0)	(51, 28651.0)	(52, 28754.0)	(53, 28481.0)	(54, 27405.0)	(55, 27390.0)	(56, 27396.0)	(57, 27501.0)	(58, 27227.0)	(59, 27402.0)	(60, 27993.0)	(61, 28891.0)	(62, 29772.0)	(63, 29607.0)	(64, 31682.0)	(65, 31858.0)	(66, 32129.0)	(67, 32357.0)	(68, 35118.0)	(69, 31976.0)	(70, 34969.0)	(71, 54856.0)	(72, 127814.0)	(73, 425206.0)	(74, 1400332.0)	(75, 5323206.0)	(76, 14326794.0)	
