Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR22134161_1_paired - nextera_transposase_sequence	(1, 5.2278089638365005e-05)	(2, 0.00011109094048152565)	(3, 0.00018950807493907316)	(4, 0.0006142675532507889)	(5, 0.00115011797204403)	(6, 0.0014572517486694245)	(7, 0.0015225993607173808)	(8, 0.001627155539994111)	(9, 0.0020192412122818485)	(10, 0.002234888332040104)	(11, 0.0024309311681839727)	(12, 0.003090942049868331)	(13, 0.0032869848860122)	(14, 0.0036202577074567767)	(15, 0.003737883409143098)	(16, 0.004136503842635631)	(17, 0.004306407633960317)	(18, 0.004986022799259062)	(19, 0.0053519694267276175)	(20, 0.006253766472989414)	(21, 0.00972372467273589)	(22, 0.014121618963563348)	(23, 0.024021782188828722)	(24, 0.03866618204877572)	(25, 0.043606461519601215)	(26, 0.06429551549398417)	(27, 0.07294100456792878)	(28, 0.09958976076108535)	(29, 0.15949391672544685)	(30, 0.22914140164615862)	(31, 0.3509950938319827)	(32, 0.5438358969855016)	(33, 0.7582087383088221)	(34, 0.9852982249366748)	(35, 1.2171254134380045)	(36, 1.4824171140690925)	(37, 1.8152390369905387)	(38, 2.2803702700254815)	(39, 2.8337338488475754)	(40, 3.4983059938528807)	(41, 4.200224299143593)	(42, 4.833527611783952)	(43, 5.417408525432441)	(44, 6.014208661982811)	(45, 6.592633050025296)	(46, 7.178056167318117)	(47, 7.749566778005928)	(48, 8.360429720669018)	(49, 9.0158401304652)	(50, 9.66191236649973)	(51, 10.27242243205776)	(52, 10.819506105362047)	(53, 11.378260862178095)	(54, 11.927553284769601)	(55, 12.49181031052009)	(56, 13.01475457593386)	(57, 13.54441657586616)	(58, 14.07087654280811)	(59, 14.58181645188867)	(60, 15.107243926560262)	(61, 15.599010846265953)	(62, 16.077361901218197)	(63, 16.579035518910356)	(64, 17.07917346771939)	(65, 17.07917346771939)
SRR22134161_1_paired - polya	(1, 0.37129859689528266)	(2, 0.38521763826149735)	(3, 0.3954380047857977)	(4, 0.41091885407995854)	(5, 0.45455145464437896)	(6, 0.5016866872145698)	(7, 0.5225521797414823)	(8, 0.552964958388601)	(9, 0.6113465149922452)	(10, 0.6455167813321215)	(11, 0.6743285434840655)	(12, 0.691064066929547)	(13, 0.7011602729909563)	(14, 0.7087340612273144)	(15, 0.7137723621162119)	(16, 0.7233980653708758)	(17, 0.7291878637983247)	(18, 0.7448386168838103)	(19, 0.7523797313141444)	(20, 0.7654100451565069)	(21, 0.783119248021503)	(22, 0.8066966664484057)	(23, 0.8313327161904851)	(24, 0.8436768801063441)	(25, 0.8520152354036633)	(26, 0.8599680397898996)	(27, 0.8640718698265112)	(28, 0.8679012398925214)	(29, 0.8703060320158863)	(30, 0.8732205355132251)	(31, 0.8758671138011673)	(32, 0.8786313177907958)	(33, 0.8807224413763305)	(34, 0.8832513939625865)	(35, 0.8863227317288404)	(36, 0.8923216425148427)	(37, 0.8951838679225432)	(38, 0.8996536445866234)	(39, 0.9016859553213149)	(40, 0.905900876298408)	(41, 0.9097367811256231)	(42, 0.9129453488771777)	(43, 0.9171668046154757)	(44, 0.9201205166800434)	(45, 0.9230546244609965)	(46, 0.9261455665108649)	(47, 0.9285111500670009)	(48, 0.9321902206253009)	(49, 0.9358235478551672)	(50, 0.9419662233876751)	(51, 0.9459851015286244)	(52, 0.9494093163999373)	(53, 0.9514873704630623)	(54, 0.9540947401837758)	(55, 0.9578130193093045)	(56, 0.96211289218206)	(57, 0.9673472359071014)	(58, 0.9703793651061264)	(59, 0.9721894939598549)	(60, 0.9741237832764744)	(61, 0.9759077730853836)	(62, 0.9784890037612779)	(63, 0.9798155602858514)	(64, 0.9816126196171702)	(65, 0.9816126196171702)
SRR22134161_2 - nextera_transposase_sequence	(1, 8.305527120660621e-05)	(2, 0.00013051542618180978)	(3, 0.0002432332942479182)	(4, 0.000640712092165248)	(5, 0.001162773796892487)	(6, 0.0014297371686280071)	(7, 0.0015068599204627127)	(8, 0.001631442827272622)	(9, 0.0020882468189089565)	(10, 0.0023730077487601775)	(11, 0.0026755662367271)	(12, 0.0032806832126609457)	(13, 0.0034349287163303573)	(14, 0.0038027449173881848)	(15, 0.004022248134148501)	(16, 0.0044612545676691335)	(17, 0.004722285420032753)	(18, 0.0054460527834046075)	(19, 0.005968114488131847)	(20, 0.007196145998115238)	(21, 0.010755657621255505)	(22, 0.015216912188924639)	(23, 0.024827593571403357)	(24, 0.03936226603255945)	(25, 0.04456508552171613)	(26, 0.06539416103645859)	(27, 0.07422768238121835)	(28, 0.10109013009718357)	(29, 0.160415323816188)	(30, 0.2310419669386628)	(31, 0.3502915388332336)	(32, 0.5408677911361635)	(33, 0.7484703740364477)	(34, 0.9748671783069124)	(35, 1.19977492021503)	(36, 1.465195836913856)	(37, 1.786323110514827)	(38, 2.2455950302098717)	(39, 2.7751673044619367)	(40, 3.4175523670900607)	(41, 4.085049784219439)	(42, 4.691549037166937)	(43, 5.245871782238571)	(44, 5.816953894535823)	(45, 6.370149460926796)	(46, 6.926999459250859)	(47, 7.470536884104378)	(48, 8.050505910420737)	(49, 8.668834606995805)	(50, 9.280702789974873)	(51, 9.857592838737215)	(52, 10.375341601881082)	(53, 10.903442611328916)	(54, 11.422330418192189)	(55, 11.955278295966865)	(56, 12.445446776550767)	(57, 12.943167354295099)	(58, 13.436373284797416)	(59, 13.915394561481516)	(60, 14.406654625629848)	(61, 14.867326619896662)	(62, 15.314804691080369)	(63, 15.78340253122804)	(64, 16.25056470168771)	(65, 16.25056470168771)
SRR22134161_2 - polya	(1, 0.48955149856922464)	(2, 0.5239423133681315)	(3, 0.5437865906671385)	(4, 0.5683768834636659)	(5, 0.6270317024936455)	(6, 0.689809622487096)	(7, 0.7214062206618378)	(8, 0.7993061325342625)	(9, 0.9992854280416545)	(10, 1.1426091635473974)	(11, 1.366988911231416)	(12, 1.478656723368698)	(13, 1.5478180342063135)	(14, 1.6168784922146064)	(15, 1.6842897098375114)	(16, 1.7680094232137704)	(17, 1.8744328882262924)	(18, 2.101612785053848)	(19, 2.271846428430531)	(20, 2.514747501593623)	(21, 2.914842540553961)	(22, 3.61424504686542)	(23, 4.257739490616089)	(24, 4.578635395961556)	(25, 4.793499382573047)	(26, 4.920888371045865)	(27, 5.002009640937231)	(28, 5.051872466258055)	(29, 5.089205810665424)	(30, 5.122635557326083)	(31, 5.146828371324693)	(32, 5.168321889009088)	(33, 5.185810956117451)	(34, 5.20553658302902)	(35, 5.222972257463035)	(36, 5.2449403766971825)	(37, 5.259243680902834)	(38, 5.277978577079296)	(39, 5.289630045125708)	(40, 5.306875878939823)	(41, 5.321208845742334)	(42, 5.335707923087259)	(43, 5.350123945160977)	(44, 5.363412788554035)	(45, 5.375432072801504)	(46, 5.389551468906628)	(47, 5.399251138079685)	(48, 5.414806203872808)	(49, 5.426950071027088)	(50, 5.448888527664376)	(51, 5.462681635204045)	(52, 5.476332362278788)	(53, 5.486221872071746)	(54, 5.49784961004067)	(55, 5.5115952574253635)	(56, 5.526485881048834)	(57, 5.543773242498552)	(58, 5.556059490117757)	(59, 5.56390228072741)	(60, 5.573702802729789)	(61, 5.580887083689161)	(62, 5.591346115341821)	(63, 5.597296432271838)	(64, 5.605928247957952)	(65, 5.605928247957952)
SRR22134161_2_paired - nextera_transposase_sequence	(1, 8.495189566234314e-05)	(2, 0.00013722998530070815)	(3, 0.0002483209257822338)	(4, 0.0006665456428891539)	(5, 0.0012350698677063732)	(6, 0.0015291341219221765)	(7, 0.0016010164951749284)	(8, 0.001731711719270841)	(9, 0.0021564711975825567)	(10, 0.0024374659293887684)	(11, 0.002705391138785389)	(12, 0.003371936781674543)	(13, 0.003528771050589638)	(14, 0.003901252439262989)	(15, 0.004058086708178084)	(16, 0.004489380947694595)	(17, 0.004724632351067237)	(18, 0.005456525606004348)	(19, 0.005933563173954428)	(20, 0.007037937817564889)	(21, 0.01080196027152717)	(22, 0.01549391881657043)	(23, 0.025825376281352314)	(24, 0.04133236462033234)	(25, 0.04674968165910791)	(26, 0.06879143120288356)	(27, 0.07820802209899405)	(28, 0.10659502477262625)	(29, 0.16936140614468823)	(30, 0.24432818668610365)	(31, 0.3732263514506974)	(32, 0.5791432117750124)	(33, 0.8048015856990149)	(34, 1.048502435309458)	(35, 1.2922032849199014)	(36, 1.5783212695106732)	(37, 1.92710107929423)	(38, 2.42223340102039)	(39, 2.9966258413995157)	(40, 3.689532710988815)	(41, 4.4140220814808915)	(42, 5.06555737788263)	(43, 5.665807868349132)	(44, 6.2779058808799295)	(45, 6.876633771985714)	(46, 7.474015502283311)	(47, 8.062196288804556)	(48, 8.685253095875794)	(49, 9.354843937486383)	(50, 10.01299894698858)	(51, 10.6361668450003)	(52, 11.192137793543107)	(53, 11.762093131064177)	(54, 12.320155203192519)	(55, 12.895273002065377)	(56, 13.422687044143228)	(57, 13.95908638287767)	(58, 14.49002919600611)	(59, 15.00628186594617)	(60, 15.534852560757269)	(61, 16.030344294349693)	(62, 16.51119162808217)	(63, 17.014832208896973)	(64, 17.516388200887448)	(65, 17.516388200887448)
SRR22134161_2_paired - polya	(1, 0.4633080346588051)	(2, 0.48129823225560747)	(3, 0.49387764757483904)	(4, 0.5116260590070639)	(5, 0.544143030762127)	(6, 0.5831490203935521)	(7, 0.6043869943091379)	(8, 0.655220901721243)	(9, 0.7815639748547617)	(10, 0.872201112765277)	(11, 1.0017788926951694)	(12, 1.0583176466390611)	(13, 1.0948600312962784)	(14, 1.1323368868057813)	(15, 1.1629522430502488)	(16, 1.2055850251503355)	(17, 1.2404479761779201)	(18, 1.3224200207308765)	(19, 1.366555797908066)	(20, 1.4305245753418105)	(21, 1.5543909739787116)	(22, 1.7856757773000431)	(23, 2.0145427189756004)	(24, 2.122849851183883)	(25, 2.1996332953402318)	(26, 2.25180682879932)	(27, 2.2802853181298195)	(28, 2.3000725750579405)	(29, 2.3137890388268065)	(30, 2.3286164120004877)	(31, 2.3390720299281607)	(32, 2.349285861691256)	(33, 2.357121040375806)	(34, 2.3679033963637193)	(35, 2.3768168106470604)	(36, 2.390637830595203)	(37, 2.3986102392650537)	(38, 2.4106995474939255)	(39, 2.4169598487281196)	(40, 2.427663787581575)	(41, 2.435525105310944)	(42, 2.4449743700130786)	(43, 2.453312725310398)	(44, 2.4622522786385583)	(45, 2.4694078421578096)	(46, 2.4793929572787374)	(47, 2.4855552370948595)	(48, 2.4966904701878314)	(49, 2.5042315846181653)	(50, 2.519999963405337)	(51, 2.5292662547937375)	(52, 2.5389246318544254)	(53, 2.545191467849824)	(54, 2.5536409140876253)	(55, 2.5629398792820495)	(56, 2.573532727195023)	(57, 2.5853802492593174)	(58, 2.5940780164229005)	(59, 2.5990444349385453)	(60, 2.605860190875147)	(61, 2.610179668031517)	(62, 2.6174920658196834)	(63, 2.6210600454375017)	(64, 2.626359736774591)	(65, 2.626359736774591)
SRR22134162_1 - nextera_transposase_sequence	(1, 4.121294307313871e-06)	(2, 1.6485177229255484e-05)	(3, 3.297035445851097e-05)	(4, 0.0001566091836779271)	(5, 0.0003750377819655623)	(6, 0.0004327359022679565)	(7, 0.00045746366811183974)	(8, 0.0004739488453410952)	(9, 0.0005481321428727449)	(10, 0.0006346793233263362)	(11, 0.0007171052094726136)	(12, 0.0007500755639311246)	(13, 0.0007789246240823217)	(14, 0.0008118949785408326)	(15, 0.0008489866273066575)	(16, 0.0008860782760724824)	(17, 0.0009602615736041321)	(18, 0.0010385661654430955)	(19, 0.0011127494629747452)	(20, 0.001191054054813709)	(21, 0.0015619705424719573)	(22, 0.0021018600967300746)	(23, 0.0027942375403588048)	(24, 0.00400177677240177)	(25, 0.004405663614518529)	(26, 0.005670900966863887)	(27, 0.007529604699462443)	(28, 0.017911145059586086)	(29, 0.049978936064795317)	(30, 0.08968760671576446)	(31, 0.18208702508574146)	(32, 0.30264724745759414)	(33, 0.442577553073822)	(34, 0.5941093021651385)	(35, 0.756776788474817)	(36, 0.9543557588617513)	(37, 1.2441157190203749)	(38, 1.633108203510502)	(39, 2.0794773473470527)	(40, 2.562113881087966)	(41, 3.025405059350347)	(42, 3.484933495910151)	(43, 3.940245848393573)	(44, 4.408107542042766)	(45, 4.884426131610566)	(46, 5.365488330926086)	(47, 5.856697156826211)	(48, 6.3571788949177925)	(49, 6.87525031711299)	(50, 7.3955966937658255)	(51, 7.906282756562316)	(52, 8.397170121506472)	(53, 8.875574085993772)	(54, 9.353491737752812)	(55, 9.839375851407887)	(56, 10.32692496796312)	(57, 10.820313958551813)	(58, 11.321966144226673)	(59, 11.826635117334485)	(60, 12.334605247182456)	(61, 12.836356343920691)	(62, 13.319178335905432)	(63, 13.80130382915224)	(64, 14.276217057361245)	(65, 14.276217057361245)
SRR22134162_1 - polya	(1, 0.010076564581382416)	(2, 0.011214041810201044)	(3, 0.01226497185856608)	(4, 0.013699182277511308)	(5, 0.016538754055250567)	(6, 0.019510207250823867)	(7, 0.020812536251935052)	(8, 0.022259110553802218)	(9, 0.023272948953401432)	(10, 0.027097510070588703)	(11, 0.030790189769941932)	(12, 0.03465596383020234)	(13, 0.03851349530184813)	(14, 0.04260181925470349)	(15, 0.04769573901854343)	(16, 0.05289681243437354)	(17, 0.05604548128516134)	(18, 0.06142789165051325)	(19, 0.06394188117797471)	(20, 0.06636520223067527)	(21, 0.06879264457768314)	(22, 0.0713354831652958)	(23, 0.07347855620509901)	(24, 0.0757617532513509)	(25, 0.07754627368641781)	(26, 0.07963989119453325)	(27, 0.08098343313871757)	(28, 0.0829204414631551)	(29, 0.0844988971828563)	(30, 0.08616390008301111)	(31, 0.08852952301540927)	(32, 0.09022337497571527)	(33, 0.0918966204644847)	(34, 0.09384599267184417)	(35, 0.09663610891789566)	(36, 0.10045654874077561)	(37, 0.10291284014793468)	(38, 0.1055010129729278)	(39, 0.10747923424043845)	(40, 0.10991079788175363)	(41, 0.11272564189364902)	(42, 0.11505829447158866)	(43, 0.11773713577134268)	(44, 0.11978129774777035)	(45, 0.12186255137296387)	(46, 0.12369652733971853)	(47, 0.12531619600249289)	(48, 0.12756230139997896)	(49, 0.12933857924643122)	(50, 0.131712444767444)	(51, 0.13385551780724722)	(52, 0.13572246412846042)	(53, 0.13760177433259554)	(54, 0.13927501982136498)	(55, 0.14166949181391433)	(56, 0.14413814710399533)	(57, 0.14652437650793007)	(58, 0.148230592351158)	(59, 0.14995741466592252)	(60, 0.1518779378131308)	(61, 0.15664627532669295)	(62, 0.15885941036972048)	(63, 0.16130333789395762)	(64, 0.16297658338272705)	(65, 0.16297658338272705)
SRR22134162_1_paired - nextera_transposase_sequence	(1, 4.4194662106838205e-06)	(2, 1.7677864842735282e-05)	(3, 3.5355729685470564e-05)	(4, 0.0001679397160059852)	(5, 0.0004021714251722277)	(6, 0.0004640439521218012)	(7, 0.0004905607493859042)	(8, 0.0005038191480179556)	(9, 0.0005833695398102643)	(10, 0.0006717588640239408)	(11, 0.0007601481882376172)	(12, 0.0007955039179230877)	(13, 0.0008264401813978745)	(14, 0.0008617959110833451)	(15, 0.0009015711069794995)	(16, 0.0009413463028756538)	(17, 0.0010208966946679626)	(18, 0.0011048665526709551)	(19, 0.0011799974782525802)	(20, 0.0012639673362555728)	(21, 0.0016617192952171167)	(22, 0.0022362499026060134)	(23, 0.0029787202260008953)	(24, 0.004269204359520571)	(25, 0.004693473115746217)	(26, 0.006041410310004783)	(27, 0.008021331172391136)	(28, 0.019092094030154105)	(29, 0.05331202089947893)	(30, 0.09570354079235814)	(31, 0.1942708956892394)	(32, 0.3227668757648715)	(33, 0.4717161454635483)	(34, 0.6331106320115107)	(35, 0.8062608986798921)	(36, 1.0163137082074836)	(37, 1.3246598657268938)	(38, 1.7380965102701544)	(39, 2.2124996911897985)	(40, 2.7251710300277536)	(41, 3.2168985184932786)	(42, 3.7042993495385437)	(43, 4.187112774657119)	(44, 4.683056433887636)	(45, 5.18764014956004)	(46, 5.696652170375549)	(47, 6.216297426893964)	(48, 6.745338468576292)	(49, 7.2928749763503316)	(50, 7.842625636695924)	(51, 8.381884484257354)	(52, 8.900283451304354)	(53, 9.404818552848441)	(54, 9.908354855028913)	(55, 10.42039421019874)	(56, 10.934537231284853)	(57, 11.454491850438016)	(58, 11.982865552722531)	(59, 12.514103069111568)	(60, 13.048425372915665)	(61, 13.575866567829724)	(62, 14.083190352552752)	(63, 14.589599307770168)	(64, 15.088433297902473)	(65, 15.088433297902473)
SRR22134162_1_paired - polya	(1, 0.009024550002216362)	(2, 0.009837731784982186)	(3, 0.010628816236694589)	(4, 0.011914880904003581)	(5, 0.014517946502096351)	(6, 0.01720056249198143)	(7, 0.018464529828237004)	(8, 0.019865500617023774)	(9, 0.020815685852320798)	(10, 0.02420983590212597)	(11, 0.027533274492560204)	(12, 0.031086525325949996)	(13, 0.034666292956603895)	(14, 0.03850680909368813)	(15, 0.04327099366880529)	(16, 0.048194279027507066)	(17, 0.051164160321086595)	(18, 0.05613605980810589)	(19, 0.058429762771450795)	(20, 0.060825113457641425)	(21, 0.06321604467762137)	(22, 0.06571304308665774)	(23, 0.06783438686778596)	(24, 0.07010157303386677)	(25, 0.07188703738298304)	(26, 0.0739155723736869)	(27, 0.07521931490583864)	(28, 0.077115265910222)	(29, 0.0785869481583797)	(30, 0.08015585866317246)	(31, 0.08243188376167462)	(32, 0.08397427746920329)	(33, 0.0854415402511503)	(34, 0.08715629314089564)	(35, 0.0896223552864572)	(36, 0.09299882747141965)	(37, 0.09501410406349146)	(38, 0.09718406197293722)	(39, 0.09881926447089023)	(40, 0.10088757465749026)	(41, 0.10331828107336637)	(42, 0.10518329581427494)	(43, 0.10749467664246258)	(44, 0.10915639593767969)	(45, 0.11081369576668612)	(46, 0.112241183352737)	(47, 0.11342560029720027)	(48, 0.11518896731526311)	(49, 0.116364545327305)	(50, 0.1179246168996764)	(51, 0.11930790982362043)	(52, 0.12060281342335079)	(53, 0.12192423382034526)	(54, 0.12298932517712005)	(55, 0.12456707461433418)	(56, 0.1261978576460765)	(57, 0.1278949326709791)	(58, 0.12899096029122867)	(59, 0.13010908524253167)	(60, 0.13121837126141334)	(61, 0.1321773954291317)	(62, 0.133193872657589)	(63, 0.1340424101700403)	(64, 0.13490420608112363)	(65, 0.13490420608112363)
SRR22134162_2 - nextera_transposase_sequence	(1, 4.121294307313871e-06)	(2, 8.242588614627742e-06)	(3, 2.472776584388323e-05)	(4, 0.00016485177229255487)	(5, 0.00036679519335093455)	(6, 0.0004327359022679565)	(7, 0.0004780701396484091)	(8, 0.0004945553168776646)	(9, 0.0005563747314873726)	(10, 0.0006470432062482778)	(11, 0.0007500755639311246)	(12, 0.0007954098013115772)	(13, 0.0008531079216139714)	(14, 0.0009231699248383072)	(15, 0.0010014745166772707)	(16, 0.0010797791085162343)	(17, 0.001186932760506395)	(18, 0.0013229354726477527)	(19, 0.0014589381847891106)	(20, 0.0016443964286182347)	(21, 0.002110102685344702)	(22, 0.002724175537134469)	(23, 0.0035031001612167907)	(24, 0.004924946697240076)	(25, 0.005543140843337157)	(26, 0.007002079028126267)	(27, 0.009153394656544108)	(28, 0.020305617052135443)	(29, 0.05386119530228498)	(30, 0.09593961017995961)	(31, 0.19339173537070342)	(32, 0.3200926862604538)	(33, 0.4671940439714078)	(34, 0.6261441228158892)	(35, 0.7970006209142003)	(36, 1.0037577137235227)	(37, 1.3059681039845414)	(38, 1.7116064961819093)	(39, 2.1730554558889215)	(40, 2.671789765194202)	(41, 3.1486812146707197)	(42, 3.6193124180944274)	(43, 4.086411672296767)	(44, 4.566406456386692)	(45, 5.056543745766915)	(46, 5.5493846042127375)	(47, 6.053835148722262)	(48, 6.566165607947372)	(49, 7.094367171549947)	(50, 7.625490732816408)	(51, 8.146430575849495)	(52, 8.646430122507121)	(53, 9.13419766766064)	(54, 9.621025557712091)	(55, 10.116071308612327)	(56, 10.609761153685454)	(57, 11.109740093871544)	(58, 11.617462946061076)	(59, 12.12786876084467)	(60, 12.641773554495174)	(61, 13.149100762431205)	(62, 13.637284558309762)	(63, 14.123218127496525)	(64, 14.601242932907555)	(65, 14.601242932907555)
SRR22134162_2 - polya	(1, 0.015178726933836989)	(2, 0.01691791313152344)	(3, 0.018199635661098057)	(4, 0.019819304323872407)	(5, 0.02328119154201606)	(6, 0.027439577498095755)	(7, 0.02975574489880615)	(8, 0.03206366971090192)	(9, 0.03451171852944636)	(10, 0.042844975618835004)	(11, 0.05204370451275957)	(12, 0.06364926928215543)	(13, 0.07720420625891075)	(14, 0.09319070687698126)	(15, 0.11650899006776315)	(16, 0.141034812490588)	(17, 0.15909844543954468)	(18, 0.1897979667347257)	(19, 0.20810063475350662)	(20, 0.22727701716543808)	(21, 0.24785463964185622)	(22, 0.2681849844598356)	(23, 0.2882227173819956)	(24, 0.3091300434029989)	(25, 0.33096878193745505)	(26, 0.35984669114880335)	(27, 0.37903131614934943)	(28, 0.39981088204682597)	(29, 0.41808057971114837)	(30, 0.43922694080197583)	(31, 0.46100385992182236)	(32, 0.47891500498140843)	(33, 0.496661298268702)	(34, 0.5151906374743851)	(35, 0.5370087695373048)	(36, 0.5639373065412936)	(37, 0.5855040396514671)	(38, 0.6088017163707125)	(39, 0.6280811311403267)	(40, 0.6489307590410276)	(41, 0.6712269612435956)	(42, 0.6918664031346234)	(43, 0.7161078562502436)	(44, 0.7375138588824319)	(45, 0.7576257751021236)	(46, 0.7771648314130987)	(47, 0.7943671138518268)	(48, 0.8138361081595775)	(49, 0.8328517600935237)	(50, 0.8556919731446572)	(51, 0.8764509325705971)	(52, 0.8959487759384991)	(53, 0.9154301341291717)	(54, 0.9347754896077031)	(55, 0.9575868535986853)	(56, 0.9808021044317844)	(57, 1.0063788569029744)	(58, 1.0266308971291147)	(59, 1.0458237647182753)	(60, 1.0664178723719226)	(61, 1.0893652390750463)	(62, 1.1093411525825967)	(63, 1.1279405537915042)	(64, 1.1478257988242937)	(65, 1.1478257988242937)
SRR22134162_2_paired - nextera_transposase_sequence	(1, 4.4194662106838205e-06)	(2, 8.838932421367641e-06)	(3, 2.6516797264102927e-05)	(4, 0.00016352024979530137)	(5, 0.0003800740941188086)	(6, 0.00044636608727906593)	(7, 0.0004949802155965879)	(8, 0.0005038191480179556)	(9, 0.0005568527425461614)	(10, 0.000640822600549154)	(11, 0.0007468897896055658)	(12, 0.0007955039179230877)	(13, 0.0008441180462406098)	(14, 0.0008927321745581319)	(15, 0.0009546047015077053)	(16, 0.0010253161608786464)	(17, 0.0011269638837243744)	(18, 0.0012462894714128374)	(19, 0.0013611955928906167)	(20, 0.0015070379778431829)	(21, 0.0019622429975436166)	(22, 0.0025809682670393515)	(23, 0.003385311117383807)	(24, 0.004830476568277417)	(25, 0.005405007175666313)	(26, 0.006903206221088128)	(27, 0.009095261461587303)	(28, 0.02078474958884601)	(29, 0.05627306326063709)	(30, 0.10100690024517872)	(31, 0.20455941302771133)	(32, 0.33914983700787643)	(33, 0.4952674809002824)	(34, 0.6640910901484044)	(35, 0.845457144502447)	(36, 1.0648924807953202)	(37, 1.3858473754138112)	(38, 1.8164050320572611)	(39, 2.306324958842616)	(40, 2.8353483226601015)	(41, 3.3410457438175976)	(42, 3.8396145659772607)	(43, 4.334515231182056)	(44, 4.842988077119863)	(45, 5.362169289686155)	(46, 5.883644205215792)	(47, 6.417069357379119)	(48, 6.958789847619899)	(49, 7.517379440386859)	(50, 8.07875771633276)	(51, 8.629122682481638)	(52, 9.157359381313622)	(53, 9.671900154358696)	(54, 10.184902953162453)	(55, 10.70670490919168)	(56, 11.22709263603349)	(57, 11.753813457955209)	(58, 12.288113664428252)	(59, 12.824888771979277)	(60, 13.365097804776003)	(61, 13.898058912987207)	(62, 14.410562312109157)	(63, 14.920374256308799)	(64, 15.421665469654243)	(65, 15.421665469654243)
SRR22134162_2_paired - polya	(1, 0.008635636975676186)	(2, 0.009135036657483457)	(3, 0.009506271819180899)	(4, 0.010195708548047576)	(5, 0.011777877451472383)	(6, 0.013912479631232669)	(7, 0.015189705366120293)	(8, 0.016537642560378856)	(9, 0.018093294666539562)	(10, 0.024108188179280243)	(11, 0.030892068812679908)	(12, 0.03993871614594969)	(13, 0.050717794233807525)	(14, 0.0635916993055295)	(15, 0.08309922315948788)	(16, 0.10379558342412022)	(17, 0.11869360402033538)	(18, 0.1440083064751323)	(19, 0.1589814579969291)	(20, 0.17494456994991905)	(21, 0.19197277325968382)	(22, 0.20824524784742166)	(23, 0.2241862624693582)	(24, 0.24055596531373105)	(25, 0.2581940549605702)	(26, 0.2816570010730906)	(27, 0.2967759949798399)	(28, 0.3127346874666192)	(29, 0.3268151068138579)	(30, 0.34334832990802605)	(31, 0.3608008019740165)	(32, 0.37520384235463505)	(33, 0.3896113022014643)	(34, 0.4044297724058871)	(35, 0.4222490601673643)	(36, 0.44440826374773296)	(37, 0.4622452293740529)	(38, 0.48104121916809117)	(39, 0.4969380391279209)	(40, 0.5138734336472612)	(41, 0.5325500978536111)	(42, 0.5494545561094767)	(43, 0.5695631273680881)	(44, 0.5874398681903041)	(45, 0.6037697958387809)	(46, 0.620024592561676)	(47, 0.6340122031184903)	(48, 0.6501874494495931)	(49, 0.6656025475924582)	(50, 0.6843013091298614)	(51, 0.7015593246825818)	(52, 0.7175622118314678)	(53, 0.7336711661694104)	(54, 0.7497712815749316)	(55, 0.7686644996256049)	(56, 0.7878317245813407)	(57, 0.8092705551693679)	(58, 0.8256004828178446)	(59, 0.8412011985415585)	(60, 0.858357566371433)	(61, 0.8776927310431748)	(62, 0.893960786164702)	(63, 0.9090753606052406)	(64, 0.9249191469705421)	(65, 0.9249191469705421)
SRR22134163_1 - nextera_transposase_sequence	(1, 3.0638736686101106e-05)	(2, 5.252354860474476e-05)	(3, 0.00012255494674440442)	(4, 0.00041581142645422933)	(5, 0.0008972772886643896)	(6, 0.0011205023702345548)	(7, 0.001151141106920656)	(8, 0.001216795542676587)	(9, 0.0013393504894209914)	(10, 0.0014619054361653958)	(11, 0.0015494446838399704)	(12, 0.0016544917810494598)	(13, 0.0016982614048867471)	(14, 0.0017464079911077633)	(15, 0.001816439389247423)	(16, 0.0018645859754684389)	(17, 0.001956502185526742)	(18, 0.002074680169887418)	(19, 0.002201612079015551)	(20, 0.002315413100992498)	(21, 0.002818763775121302)	(22, 0.003435915471227053)	(23, 0.004298177060821613)	(24, 0.006118993412452764)	(25, 0.006613590161814111)	(26, 0.008723286030771358)	(27, 0.011261924213334022)	(28, 0.024616036446090377)	(29, 0.06589954564941976)	(30, 0.11556493781758966)	(31, 0.23139249337820303)	(32, 0.3845248993353364)	(33, 0.559660295195474)	(34, 0.7550435190427408)	(35, 0.9625509286929361)	(36, 1.2144626217260595)	(37, 1.5824163414765988)	(38, 2.0853643350661)	(39, 2.6714746139464465)	(40, 3.288521262954988)	(41, 3.8813633099815097)	(42, 4.464882427130689)	(43, 5.057781374668199)	(44, 5.645274773661804)	(45, 6.2281373464534235)	(46, 6.822121780662099)	(47, 7.4087835568027955)	(48, 8.000907781998386)	(49, 8.61440033755134)	(50, 9.230055112521855)	(51, 9.838339082838171)	(52, 10.41368641121693)	(53, 10.97523317719979)	(54, 11.521241726720413)	(55, 12.081650482483505)	(56, 12.642982777309564)	(57, 13.207978589650804)	(58, 13.781014881890952)	(59, 14.35395488095866)	(60, 14.925800639430435)	(61, 15.502487318298613)	(62, 16.055748494489077)	(63, 16.609841293532448)	(64, 17.150426786659633)	(65, 17.150426786659633)
