Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR22134162_2	(1, 30.517961836979566)	(2, 30.271391722347413)	(3, 33.0187344972363)	(4, 34.16891273085121)	(5, 34.22655900527122)	(6, 36.78327794725914)	(7, 37.139316603680925)	(8, 37.245579643971276)	(9, 37.72031149401782)	(10, 37.49230430713995)	(12, 37.43342972216459)	(14, 37.52651253355661)	(16, 37.56377082685775)	(18, 37.8337431960522)	(20, 37.66974006007693)	(22, 37.59542036831018)	(24, 37.65519801129416)	(26, 37.666005878943906)	(28, 37.59440566443878)	(30, 37.474108545495504)	(32, 37.440808322640635)	(34, 37.351436468888224)	(36, 37.2784001275623)	(38, 37.19622852527478)	(40, 37.19713516880945)	(42, 37.10753120376165)	(44, 37.05931706773866)	(46, 37.055326995442094)	(48, 37.036246020993374)	(50, 37.027951813167554)	(52, 37.075672053280755)	(54, 37.03762251268555)	(56, 37.05605998824112)	(58, 37.05952776891013)	(60, 37.07789328666709)	(62, 37.04837735988403)	(64, 37.03101004373854)	(66, 36.9770420263819)	(68, 36.97519188566091)	(70, 36.9118382211408)	(72, 36.840235387242984)	(74, 36.95292159986115)	(76, 36.991627306642926)
SRR22134162_2_paired	(1, 31.000393641855386)	(2, 30.72686757471671)	(3, 33.618932233098384)	(4, 34.841588608949586)	(5, 34.87041930613762)	(6, 37.57178470464287)	(7, 37.93855046016145)	(8, 38.11614198100894)	(9, 38.65822305549784)	(10, 38.391906861340615)	(12, 38.32427961485413)	(14, 38.42518230408606)	(16, 38.452578530931426)	(18, 38.76516653631451)	(20, 38.60030126617265)	(22, 38.50273111963155)	(24, 38.54652489195841)	(26, 38.544786384437785)	(28, 38.472451213181046)	(30, 38.35696914686669)	(32, 38.30097221185489)	(34, 38.19482173795774)	(36, 38.1140176477127)	(38, 38.04649454482579)	(40, 38.05528383163478)	(42, 37.97460527652231)	(44, 37.943854021785825)	(46, 37.95798863060559)	(48, 37.9498355414965)	(50, 37.965772905848794)	(52, 38.03379123407194)	(54, 38.019334281164205)	(56, 38.06554767269527)	(58, 38.09318317394037)	(60, 38.140316539755304)	(62, 38.14978241161461)	(64, 38.17127551091864)	(66, 38.15144494094467)	(68, 38.19123903711529)	(70, 38.16277156019089)	(72, 38.132014147484966)	(74, 38.425678451285805)	(76, 39.02536352665084)
SRR22134163_1	(1, 31.158906713581867)	(2, 31.555111537038183)	(3, 34.871259092318674)	(4, 35.863479260529715)	(5, 36.344256845405035)	(6, 39.37047533154943)	(7, 39.151087751749195)	(8, 39.65078309328248)	(9, 39.560844657446886)	(10, 40.03911240455213)	(12, 39.43822808307212)	(14, 39.13788368178696)	(16, 39.05551686563973)	(18, 38.3970523784523)	(20, 37.7687230146591)	(22, 37.50692776852172)	(24, 37.495261194136006)	(26, 37.32054537388997)	(28, 37.26180907733851)	(30, 37.29171335973663)	(32, 37.257994510851475)	(34, 37.245939087127596)	(36, 37.25875856473094)	(38, 37.17549584639383)	(40, 37.245664071448836)	(42, 37.36617348800995)	(44, 37.52264380106301)	(46, 37.65943507066804)	(48, 37.837487661889085)	(50, 38.104607549919365)	(52, 38.24497582669118)	(54, 38.26115934013434)	(56, 38.3687663132138)	(58, 38.42074532847858)	(60, 38.47539689532401)	(62, 38.485706983063906)	(64, 38.53461013214518)	(66, 38.59261209769363)	(68, 38.61293639615913)	(70, 38.59961317834535)	(72, 38.548385991768626)	(74, 38.500479128719185)	(76, 37.37640133398786)
SRR22134163_1_paired	(1, 31.241014449930027)	(2, 31.612267190700948)	(3, 34.9853556930247)	(4, 35.97295334319022)	(5, 36.42659383500494)	(6, 39.48055129928491)	(7, 39.25675996200509)	(8, 39.762192489886615)	(9, 39.69272530284189)	(10, 40.15089932915703)	(12, 39.563972703843035)	(14, 39.27021632176884)	(16, 39.178488660474216)	(18, 38.52743174981411)	(20, 37.892277163245666)	(22, 37.62333193986328)	(24, 37.61754533161416)	(26, 37.48354168695313)	(28, 37.44306331726459)	(30, 37.484167978990875)	(32, 37.45947326925237)	(34, 37.46196572921761)	(36, 37.493217868468165)	(38, 37.43741793250973)	(40, 37.53680434275749)	(42, 37.69056191282469)	(44, 37.88418439775904)	(46, 38.07592528014821)	(48, 38.330177250404475)	(50, 38.66910914727623)	(52, 38.861359092960306)	(54, 38.91348114557057)	(56, 39.046881397429914)	(58, 39.11680243040953)	(60, 39.19052573058697)	(62, 39.219788494415894)	(64, 39.287756688602705)	(66, 39.36327646194722)	(68, 39.40810826974254)	(70, 39.42375188858509)	(72, 39.40489822671428)	(74, 39.47000412014243)	(76, 39.041129594590004)
SRR22134163_2	(1, 30.67303320648167)	(2, 30.431129044012327)	(3, 33.24505890187704)	(4, 34.42268413278916)	(5, 34.39742227554335)	(6, 37.032043829150524)	(7, 37.375130931358505)	(8, 37.475386742925025)	(9, 37.921165436266065)	(10, 37.69589646645638)	(12, 37.67332917667805)	(14, 37.74440927312004)	(16, 37.77490262900057)	(18, 38.03380124520203)	(20, 37.882966044182375)	(22, 37.79584144803922)	(24, 37.86857575175971)	(26, 37.87896337773688)	(28, 37.79405394037133)	(30, 37.69221077962673)	(32, 37.65282921377281)	(34, 37.53224120826922)	(36, 37.4388281208453)	(38, 37.34924682325541)	(40, 37.340147337307755)	(42, 37.22944407673096)	(44, 37.170317505740606)	(46, 37.17913030103786)	(48, 37.15490269705808)	(50, 37.136450495196414)	(52, 37.17984943598898)	(54, 37.14201217023198)	(56, 37.157329350764265)	(58, 37.138889491937064)	(60, 37.15593905237185)	(62, 37.13941943268087)	(64, 37.137920195020996)	(66, 37.09504278875299)	(68, 37.09886462277946)	(70, 37.05531920857942)	(72, 36.99264368838766)	(74, 37.09438550124709)	(76, 37.12152783364642)
SRR22134163_2_paired	(1, 31.10171851046819)	(2, 30.83733484954814)	(3, 33.77362505358424)	(4, 35.02047925296574)	(5, 34.97959690287756)	(6, 37.73380897857339)	(7, 38.0808888846606)	(8, 38.25803735618997)	(9, 38.7599350497452)	(10, 38.49749061133229)	(12, 38.470909144073616)	(14, 38.55460301679738)	(16, 38.57963228992833)	(18, 38.88451306802559)	(20, 38.731568630358844)	(22, 38.62127001923996)	(24, 38.680859588211874)	(26, 38.67932343671127)	(28, 38.58868476200389)	(30, 38.485147535274194)	(32, 38.42893295730161)	(34, 38.2918873693785)	(36, 38.19365096410143)	(38, 38.120784651452915)	(40, 38.12212262179716)	(42, 38.0251446816936)	(44, 37.98627323200536)	(46, 38.01416184610234)	(48, 38.00517362359847)	(50, 38.01487223513473)	(52, 38.08224967024354)	(54, 38.07144291330136)	(56, 38.11694147723685)	(58, 38.12779649111053)	(60, 38.17481286543063)	(62, 38.19450127899387)	(64, 38.22793227358564)	(66, 38.215128379312276)	(68, 38.255176804758875)	(70, 38.24391315913012)	(72, 38.21680689706618)	(74, 38.47563586509011)	(76, 39.03891952750042)
SRR22134164_1	(1, 31.188008670331964)	(2, 31.599586143833516)	(3, 34.960312196234604)	(4, 35.933287586799075)	(5, 36.40554294464401)	(6, 39.48724884359339)	(7, 39.256372029536166)	(8, 39.72857660473073)	(9, 39.608351800338774)	(10, 40.098185909123856)	(12, 39.506547454021)	(14, 39.20393123384668)	(16, 39.15774943040833)	(18, 38.50013513487607)	(20, 37.87426281029066)	(22, 37.62092183195902)	(24, 37.61971322527465)	(26, 37.4723480718725)	(28, 37.44059435361375)	(30, 37.472053858814526)	(32, 37.46613178599482)	(34, 37.46464693392916)	(36, 37.48568481954028)	(38, 37.41760327345372)	(40, 37.513011759099996)	(42, 37.61956389573004)	(44, 37.77160368387543)	(46, 37.873151384059724)	(48, 37.9732004454026)	(50, 38.162636822022556)	(52, 38.26442532170605)	(54, 38.25536351465214)	(56, 38.35464137312697)	(58, 38.40770477634689)	(60, 38.47430030787339)	(62, 38.48134532989491)	(64, 38.52382222107835)	(66, 38.58964297816334)	(68, 38.6049658290667)	(70, 38.58865490741897)	(72, 38.54896545600579)	(74, 38.49188999498277)	(76, 37.36153986822899)
SRR22134164_1_paired	(1, 31.27850737289404)	(2, 31.660098540833758)	(3, 35.090541677614006)	(4, 36.05487604319554)	(5, 36.49610912060305)	(6, 39.61532984407798)	(7, 39.37986833581184)	(8, 39.856593270754566)	(9, 39.757125127595366)	(10, 40.2230926830459)	(12, 39.64886279024077)	(14, 39.354720212388486)	(16, 39.29734751441998)	(18, 38.64850820873265)	(20, 38.012846931954584)	(22, 37.748935627605306)	(24, 37.752357432788465)	(26, 37.644818710483)	(28, 37.62845270852026)	(30, 37.67381063404373)	(32, 37.679474310828596)	(34, 37.69465037734567)	(36, 37.74245659446888)	(38, 37.70894759682402)	(40, 37.84188711339418)	(42, 37.98960011513604)	(44, 38.18718659461064)	(46, 38.36224660852383)	(48, 38.56797789005741)	(50, 38.863080198772806)	(52, 39.0439581680912)	(54, 39.091247295962276)	(56, 39.22183913159418)	(58, 39.29233085636545)	(60, 39.378708371523444)	(62, 39.409059376672786)	(64, 39.47147746768217)	(66, 39.557386220591866)	(68, 39.60910365604451)	(70, 39.63635792965612)	(72, 39.636068410477925)	(74, 39.696475466764596)	(76, 39.240285674557676)
SRR22134164_2	(1, 30.073965358564056)	(2, 30.506898506937052)	(3, 33.3324062202506)	(4, 34.37800059691028)	(5, 34.308507578668134)	(6, 36.546372003838925)	(7, 36.866946967861765)	(8, 37.01256566716757)	(9, 37.53110673913507)	(10, 37.36201228108038)	(12, 37.26286376540422)	(14, 37.38549444374581)	(16, 37.374086661796156)	(18, 37.57388842998686)	(20, 37.433749729312154)	(22, 37.32376011711744)	(24, 37.370702436633145)	(26, 37.37304406747084)	(28, 37.2954422632469)	(30, 37.19293061046416)	(32, 37.15944673342539)	(34, 37.063073887287885)	(36, 36.937171908897795)	(38, 36.843743987405574)	(40, 36.823489602629635)	(42, 36.716410774455)	(44, 36.64904330585346)	(46, 36.633690752095944)	(48, 36.5953068591616)	(50, 36.557146450678204)	(52, 36.597923491307625)	(54, 36.56560716654552)	(56, 36.571948165638894)	(58, 36.55681764831297)	(60, 36.56563435259891)	(62, 36.52987702399963)	(64, 36.521909605743474)	(66, 36.472115481725396)	(68, 36.464194814212945)	(70, 36.41801540552642)	(72, 36.344582831868195)	(74, 36.45289333692644)	(76, 36.48483193514815)
SRR22134164_2_paired	(1, 30.586511300850834)	(2, 30.992635147106053)	(3, 33.9934462233908)	(4, 35.104655762049745)	(5, 35.01872309327787)	(6, 37.4154969148655)	(7, 37.743735539430276)	(8, 37.97952354026867)	(9, 38.55154579692805)	(10, 38.35180288449358)	(12, 38.24562890995233)	(14, 38.37959861593586)	(16, 38.363249731701096)	(18, 38.606490487279814)	(20, 38.469412448637456)	(22, 38.33912858383428)	(24, 38.37195428363762)	(26, 38.36500662304062)	(28, 38.29352960016468)	(30, 38.19605191610824)	(32, 38.14447287509844)	(34, 38.03694618146669)	(36, 37.90692705743571)	(38, 37.83370276950362)	(40, 37.83057746462943)	(42, 37.74004460764874)	(44, 37.699803236156)	(46, 37.71389481515524)	(48, 37.69814530404733)	(50, 37.69515375839818)	(52, 37.76869743586201)	(54, 37.77010013672263)	(56, 37.81046703293252)	(58, 37.82935808770438)	(60, 37.876806971513915)	(62, 37.88573549282274)	(64, 37.922147581764605)	(66, 37.913064517865344)	(68, 37.95256444415192)	(70, 37.94486386446303)	(72, 37.91876862954089)	(74, 38.21920101483841)	(76, 38.90967309224939)
