Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22134163_1	(1.0, 35.493608480942854)	(2.0, 18.06050298692903)	(3.0, 9.149414188165425)	(4.0, 5.065492119191603)	(5.0, 3.0603217006643053)	(6.0, 2.014601043998728)	(7.0, 1.3914027117586596)	(8.0, 1.070024774929224)	(9.0, 0.8295598347051368)	('>10', 7.499631304190412)	('>50', 2.334279861403333)	('>100', 5.046468941047869)	('>500', 2.011996413025307)	('>1k', 4.007576387293275)	('>5k', 0.6289353767532859)	('>10k+', 2.3361838750016655)
SRR22134163_1_paired	(1.0, 35.907051776988844)	(2.0, 18.39036139515842)	(3.0, 9.197669021254558)	(4.0, 4.972016188897813)	(5.0, 3.0301154910057844)	(6.0, 2.0008736659085424)	(7.0, 1.3812047118525133)	(8.0, 1.0123280698128738)	(9.0, 0.8250620667347804)	('>10', 7.5476763855382325)	('>50', 2.3389210157576086)	('>100', 5.077557463996872)	('>500', 2.043676691064085)	('>1k', 4.225999432885109)	('>5k', 0.7769261862133624)	('>10k+', 1.2725604369305616)
SRR22134163_2	(1.0, 39.83004321990191)	(2.0, 17.92034664398756)	(3.0, 9.113891355325539)	(4.0, 4.840909203008008)	(5.0, 2.906509009541919)	(6.0, 1.8539302241530657)	(7.0, 1.3161262374429974)	(8.0, 1.0194860575151174)	(9.0, 0.7560018095262746)	('>10', 7.202551370645542)	('>50', 2.2938696056104377)	('>100', 4.730354629453256)	('>500', 1.8026679253542917)	('>1k', 3.6677076956246344)	('>5k', 0.612367264492125)	('>10k+', 0.13323774841752478)
SRR22134163_2_paired	(1.0, 37.78675548503805)	(2.0, 18.62480801990829)	(3.0, 9.345958921462765)	(4.0, 4.995828884726948)	(5.0, 2.981813964821463)	(6.0, 1.896096102574816)	(7.0, 1.3500663458063646)	(8.0, 1.0522704728816592)	(9.0, 0.7827054021640625)	('>10', 7.421886942681861)	('>50', 2.391949003806981)	('>100', 4.953193112698939)	('>500', 1.8491254622845166)	('>1k', 3.863491298505959)	('>5k', 0.5652621929143098)	('>10k+', 0.1387883877230623)
SRR22134164_1	(1.0, 48.5991908247402)	(2.0, 14.976393881214095)	(3.0, 5.426025718504834)	(4.0, 2.6378473851865376)	(5.0, 1.6449203290373822)	(6.0, 1.1399559617590571)	(7.0, 0.9006710857969333)	(8.0, 0.7224563257373297)	(9.0, 0.6057591345533038)	('>10', 6.699001907032397)	('>50', 2.090273493161624)	('>100', 4.857380711276748)	('>500', 2.3454281313889895)	('>1k', 3.852024966011036)	('>5k', 0.37897555418185747)	('>10k+', 3.1236945904176294)
SRR22134164_1_paired	(1.0, 49.34366311700463)	(2.0, 15.193351482125811)	(3.0, 5.4499902598213374)	(4.0, 2.585443331895088)	(5.0, 1.6162651340369645)	(6.0, 1.1339593699997963)	(7.0, 0.865820184502303)	(8.0, 0.7280819196366102)	(9.0, 0.5887116943473203)	('>10', 6.654668376944667)	('>50', 2.071660637786228)	('>100', 4.86297939999894)	('>500', 2.3698705932398965)	('>1k', 3.9220585718070904)	('>5k', 0.5273034519391347)	('>10k+', 2.0861724749143518)
SRR22134164_2	(1.0, 56.02326260193917)	(2.0, 14.374959528515824)	(3.0, 5.09731460193317)	(4.0, 2.428620984983619)	(5.0, 1.4906521273520794)	(6.0, 0.9938462127363342)	(7.0, 0.7832777901707219)	(8.0, 0.6172489456799342)	(9.0, 0.5407353479665102)	('>10', 6.152565224303344)	('>50', 1.8575936917346694)	('>100', 4.317486748613402)	('>500', 2.0923553734064337)	('>1k', 3.055969331271538)	('>5k', 0.12465247838886406)	('>10k+', 0.049459011004430856)
SRR22134164_2_paired	(1.0, 53.92350419891204)	(2.0, 15.17574075067239)	(3.0, 5.258655887694511)	(4.0, 2.571410384292674)	(5.0, 1.5245883654100305)	(6.0, 1.0493045537102574)	(7.0, 0.8089542769324609)	(8.0, 0.6325387448205985)	(9.0, 0.5839532809770658)	('>10', 6.4102839708094494)	('>50', 1.9854326651510052)	('>100', 4.55504427615903)	('>500', 2.204583519782757)	('>1k', 3.1328713588268426)	('>5k', 0.1314459255435554)	('>10k+', 0.05168784030548275)
SRR22134165_1	(1.0, 46.822147176725146)	(2.0, 14.939230346130984)	(3.0, 5.723180112918018)	(4.0, 2.96218203991473)	(5.0, 1.8419528574621848)	(6.0, 1.2963545618513692)	(7.0, 1.0758640639936634)	(8.0, 0.8515052755674342)	(9.0, 0.6985225123834571)	('>10', 8.026966243387422)	('>50', 2.5625215179855934)	('>100', 5.327051878379939)	('>500', 2.210635284350435)	('>1k', 3.426508856512685)	('>5k', 0.21053385814009826)	('>10k+', 2.024843414297039)
SRR22134165_1_paired	(1.0, 47.425400443650354)	(2.0, 15.066813891107667)	(3.0, 5.684514587069565)	(4.0, 2.9022389092485588)	(5.0, 1.8024360464342453)	(6.0, 1.30737898056321)	(7.0, 1.0822974296220615)	(8.0, 0.8274676058543835)	(9.0, 0.7152377935451024)	('>10', 8.019854964755112)	('>50', 2.5131377224488567)	('>100', 5.342803299852539)	('>500', 2.2296663655289533)	('>1k', 3.5988698485300787)	('>5k', 0.3318331208613752)	('>10k+', 1.1500489909282587)
SRR22134165_2	(1.0, 52.24068857049853)	(2.0, 14.633908237064613)	(3.0, 5.471191194048324)	(4.0, 2.751655304981298)	(5.0, 1.7016530681463353)	(6.0, 1.2355285853084936)	(7.0, 0.9721253634372327)	(8.0, 0.7358407682030372)	(9.0, 0.6607347183568866)	('>10', 7.484605351818767)	('>50', 2.3589940656479884)	('>100', 4.744596803264186)	('>500', 1.9376031171070511)	('>1k', 3.0041325157787004)	('>5k', 0.06674233633848624)	('>10k+', 0.0)
