Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR22134162_2	(12.0, 169.0)	(13.0, 1743.0)	(14.0, 4253.0)	(15.0, 8637.0)	(16.0, 20752.0)	(17.0, 40382.0)	(18.0, 59169.0)	(19.0, 76789.0)	(20.0, 92412.0)	(21.0, 107707.0)	(22.0, 123530.0)	(23.0, 142956.0)	(24.0, 164250.0)	(25.0, 189239.0)	(26.0, 219823.0)	(27.0, 255922.0)	(28.0, 296533.0)	(29.0, 345970.0)	(30.0, 404127.0)	(31.0, 475787.0)	(32.0, 568980.0)	(33.0, 694468.0)	(34.0, 861260.0)	(35.0, 1104267.0)	(36.0, 1466447.0)	(37.0, 2087078.0)	(38.0, 3343685.0)	(39.0, 6369568.0)	(40.0, 4738319.0)										
SRR22134162_2_paired	(17.0, 2.0)	(18.0, 20.0)	(19.0, 161.0)	(20.0, 695.0)	(21.0, 2532.0)	(22.0, 6854.0)	(23.0, 15280.0)	(24.0, 30131.0)	(25.0, 52510.0)	(26.0, 82846.0)	(27.0, 123738.0)	(28.0, 174885.0)	(29.0, 237282.0)	(30.0, 312252.0)	(31.0, 401461.0)	(32.0, 512017.0)	(33.0, 653171.0)	(34.0, 835503.0)	(35.0, 1091986.0)	(36.0, 1470107.0)	(37.0, 2106587.0)	(38.0, 3369053.0)	(39.0, 6395049.0)	(40.0, 4753045.0)															
SRR22134163_1	(15.0, 2.0)	(16.0, 3.0)	(17.0, 10.0)	(18.0, 56.0)	(19.0, 231.0)	(20.0, 733.0)	(21.0, 1893.0)	(22.0, 4586.0)	(23.0, 9748.0)	(24.0, 18131.0)	(25.0, 31828.0)	(26.0, 51641.0)	(27.0, 74918.0)	(28.0, 106595.0)	(29.0, 153650.0)	(30.0, 221094.0)	(31.0, 299313.0)	(32.0, 389261.0)	(33.0, 516651.0)	(34.0, 714772.0)	(35.0, 1035480.0)	(36.0, 1610536.0)	(37.0, 2760529.0)	(38.0, 5157470.0)	(39.0, 7757706.0)	(40.0, 1930058.0)													
SRR22134163_1_paired	(20.0, 1.0)	(21.0, 1.0)	(22.0, 27.0)	(23.0, 136.0)	(24.0, 488.0)	(25.0, 1702.0)	(26.0, 4923.0)	(27.0, 12586.0)	(28.0, 27480.0)	(29.0, 53090.0)	(30.0, 93941.0)	(31.0, 154444.0)	(32.0, 243103.0)	(33.0, 374534.0)	(34.0, 578913.0)	(35.0, 910365.0)	(36.0, 1500840.0)	(37.0, 2674365.0)	(38.0, 5108129.0)	(39.0, 7770782.0)	(40.0, 1933022.0)																		
SRR22134163_2	(12.0, 166.0)	(13.0, 2360.0)	(14.0, 6496.0)	(15.0, 10604.0)	(16.0, 18960.0)	(17.0, 33529.0)	(18.0, 48180.0)	(19.0, 63507.0)	(20.0, 77469.0)	(21.0, 90921.0)	(22.0, 105365.0)	(23.0, 123485.0)	(24.0, 143361.0)	(25.0, 166686.0)	(26.0, 194817.0)	(27.0, 226169.0)	(28.0, 262263.0)	(29.0, 305320.0)	(30.0, 357626.0)	(31.0, 424161.0)	(32.0, 508645.0)	(33.0, 620369.0)	(34.0, 772563.0)	(35.0, 990494.0)	(36.0, 1331282.0)	(37.0, 1919033.0)	(38.0, 3165451.0)	(39.0, 6232314.0)	(40.0, 4645299.0)										
SRR22134163_2_paired	(17.0, 2.0)	(18.0, 10.0)	(19.0, 101.0)	(20.0, 554.0)	(21.0, 2052.0)	(22.0, 5623.0)	(23.0, 12997.0)	(24.0, 25422.0)	(25.0, 46075.0)	(26.0, 73502.0)	(27.0, 111048.0)	(28.0, 156917.0)	(29.0, 213063.0)	(30.0, 280567.0)	(31.0, 362114.0)	(32.0, 463151.0)	(33.0, 588974.0)	(34.0, 754432.0)	(35.0, 983877.0)	(36.0, 1334493.0)	(37.0, 1933986.0)	(38.0, 3184410.0)	(39.0, 6252220.0)	(40.0, 4657282.0)															
SRR22134164_1	(14.0, 1.0)	(15.0, 2.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 38.0)	(19.0, 138.0)	(20.0, 442.0)	(21.0, 1434.0)	(22.0, 3465.0)	(23.0, 7727.0)	(24.0, 15574.0)	(25.0, 29784.0)	(26.0, 50566.0)	(27.0, 76592.0)	(28.0, 108680.0)	(29.0, 160382.0)	(30.0, 238452.0)	(31.0, 322436.0)	(32.0, 406402.0)	(33.0, 523870.0)	(34.0, 709694.0)	(35.0, 1021961.0)	(36.0, 1596398.0)	(37.0, 2795299.0)	(38.0, 5434006.0)	(39.0, 8741840.0)	(40.0, 2271062.0)												
SRR22134164_1_paired	(20.0, 1.0)	(21.0, 1.0)	(22.0, 13.0)	(23.0, 59.0)	(24.0, 258.0)	(25.0, 937.0)	(26.0, 3071.0)	(27.0, 8124.0)	(28.0, 18449.0)	(29.0, 37814.0)	(30.0, 68786.0)	(31.0, 117918.0)	(32.0, 194544.0)	(33.0, 313290.0)	(34.0, 505880.0)	(35.0, 832856.0)	(36.0, 1430279.0)	(37.0, 2663558.0)	(38.0, 5364528.0)	(39.0, 8792910.0)	(40.0, 2342493.0)																		
SRR22134164_2	(12.0, 71.0)	(13.0, 720.0)	(14.0, 3129.0)	(15.0, 9833.0)	(16.0, 27024.0)	(17.0, 55249.0)	(18.0, 80895.0)	(19.0, 103823.0)	(20.0, 123131.0)	(21.0, 139291.0)	(22.0, 157417.0)	(23.0, 178219.0)	(24.0, 201969.0)	(25.0, 230554.0)	(26.0, 265962.0)	(27.0, 304080.0)	(28.0, 346638.0)	(29.0, 395510.0)	(30.0, 454084.0)	(31.0, 528096.0)	(32.0, 619390.0)	(33.0, 742683.0)	(34.0, 906241.0)	(35.0, 1138813.0)	(36.0, 1486167.0)	(37.0, 2053777.0)	(38.0, 3212228.0)	(39.0, 6075193.0)	(40.0, 4676060.0)										
SRR22134164_2_paired	(18.0, 15.0)	(19.0, 192.0)	(20.0, 884.0)	(21.0, 3228.0)	(22.0, 8778.0)	(23.0, 19977.0)	(24.0, 38898.0)	(25.0, 67294.0)	(26.0, 106674.0)	(27.0, 154915.0)	(28.0, 214429.0)	(29.0, 283964.0)	(30.0, 365400.0)	(31.0, 462956.0)	(32.0, 577816.0)	(33.0, 721132.0)	(34.0, 903181.0)	(35.0, 1149157.0)	(36.0, 1507000.0)	(37.0, 2083025.0)	(38.0, 3239848.0)	(39.0, 6098372.0)	(40.0, 4688634.0)																
SRR22134165_1	(15.0, 1.0)	(16.0, 1.0)	(17.0, 7.0)	(18.0, 23.0)	(19.0, 92.0)	(20.0, 346.0)	(21.0, 1065.0)	(22.0, 2700.0)	(23.0, 5726.0)	(24.0, 11801.0)	(25.0, 21961.0)	(26.0, 37405.0)	(27.0, 56937.0)	(28.0, 82294.0)	(29.0, 123668.0)	(30.0, 185604.0)	(31.0, 256351.0)	(32.0, 332904.0)	(33.0, 441703.0)	(34.0, 616064.0)	(35.0, 903353.0)	(36.0, 1435569.0)	(37.0, 2560525.0)	(38.0, 5130499.0)	(39.0, 8638264.0)	(40.0, 2327242.0)													
