Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR22134169_2	(12.0, 11.0)	(13.0, 469.0)	(14.0, 3153.0)	(15.0, 10763.0)	(16.0, 22910.0)	(17.0, 39058.0)	(18.0, 54187.0)	(19.0, 68586.0)	(20.0, 81145.0)	(21.0, 92925.0)	(22.0, 105808.0)	(23.0, 120746.0)	(24.0, 139602.0)	(25.0, 163309.0)	(26.0, 191573.0)	(27.0, 224589.0)	(28.0, 260722.0)	(29.0, 303641.0)	(30.0, 355263.0)	(31.0, 422957.0)	(32.0, 512842.0)	(33.0, 638642.0)	(34.0, 820053.0)	(35.0, 1092372.0)	(36.0, 1532716.0)	(37.0, 2333703.0)	(38.0, 4097685.0)	(39.0, 8464575.0)	(40.0, 5828748.0)										
SRR22134169_2_paired	(18.0, 13.0)	(19.0, 135.0)	(20.0, 576.0)	(21.0, 1948.0)	(22.0, 5406.0)	(23.0, 12280.0)	(24.0, 23925.0)	(25.0, 41743.0)	(26.0, 66803.0)	(27.0, 100063.0)	(28.0, 142728.0)	(29.0, 195082.0)	(30.0, 259596.0)	(31.0, 340341.0)	(32.0, 443744.0)	(33.0, 583091.0)	(34.0, 780656.0)	(35.0, 1073440.0)	(36.0, 1536318.0)	(37.0, 2358240.0)	(38.0, 4128998.0)	(39.0, 8496697.0)	(40.0, 5853043.0)																
SRR22134170_1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 7.0)	(18.0, 23.0)	(19.0, 82.0)	(20.0, 223.0)	(21.0, 602.0)	(22.0, 1515.0)	(23.0, 3368.0)	(24.0, 6624.0)	(25.0, 12390.0)	(26.0, 21735.0)	(27.0, 34778.0)	(28.0, 52291.0)	(29.0, 77706.0)	(30.0, 114782.0)	(31.0, 165705.0)	(32.0, 231791.0)	(33.0, 319165.0)	(34.0, 439964.0)	(35.0, 621449.0)	(36.0, 925851.0)	(37.0, 1561846.0)	(38.0, 3428337.0)	(39.0, 11577839.0)	(40.0, 15411663.0)												
SRR22134170_1_paired	(21.0, 4.0)	(22.0, 15.0)	(23.0, 79.0)	(24.0, 316.0)	(25.0, 971.0)	(26.0, 2476.0)	(27.0, 5844.0)	(28.0, 12698.0)	(29.0, 24946.0)	(30.0, 45045.0)	(31.0, 76239.0)	(32.0, 121429.0)	(33.0, 186651.0)	(34.0, 282690.0)	(35.0, 437684.0)	(36.0, 712414.0)	(37.0, 1311327.0)	(38.0, 3117908.0)	(39.0, 11180333.0)	(40.0, 15251694.0)																			
SRR22134170_2	(11.0, 1.0)	(12.0, 62.0)	(13.0, 1044.0)	(14.0, 5265.0)	(15.0, 15044.0)	(16.0, 36754.0)	(17.0, 70447.0)	(18.0, 101952.0)	(19.0, 129187.0)	(20.0, 149754.0)	(21.0, 168585.0)	(22.0, 189007.0)	(23.0, 213168.0)	(24.0, 239956.0)	(25.0, 272044.0)	(26.0, 311130.0)	(27.0, 355483.0)	(28.0, 408888.0)	(29.0, 476065.0)	(30.0, 554985.0)	(31.0, 655241.0)	(32.0, 785995.0)	(33.0, 962053.0)	(34.0, 1212641.0)	(35.0, 1579642.0)	(36.0, 2160408.0)	(37.0, 3184078.0)	(38.0, 5271526.0)	(39.0, 9733311.0)	(40.0, 5766025.0)									
SRR22134170_2_paired	(18.0, 18.0)	(19.0, 193.0)	(20.0, 1087.0)	(21.0, 3926.0)	(22.0, 10823.0)	(23.0, 24390.0)	(24.0, 48128.0)	(25.0, 82948.0)	(26.0, 130240.0)	(27.0, 189810.0)	(28.0, 263405.0)	(29.0, 351272.0)	(30.0, 453082.0)	(31.0, 576189.0)	(32.0, 728495.0)	(33.0, 921941.0)	(34.0, 1186280.0)	(35.0, 1564917.0)	(36.0, 2161364.0)	(37.0, 3203681.0)	(38.0, 5303399.0)	(39.0, 9771260.0)	(40.0, 5793915.0)																
SRR22134171_1	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 3.0)	(17.0, 14.0)	(18.0, 44.0)	(19.0, 120.0)	(20.0, 352.0)	(21.0, 1058.0)	(22.0, 2476.0)	(23.0, 5809.0)	(24.0, 12708.0)	(25.0, 24516.0)	(26.0, 44885.0)	(27.0, 69471.0)	(28.0, 96243.0)	(29.0, 132150.0)	(30.0, 190045.0)	(31.0, 254968.0)	(32.0, 310695.0)	(33.0, 372717.0)	(34.0, 463153.0)	(35.0, 595845.0)	(36.0, 831043.0)	(37.0, 1343972.0)	(38.0, 2873016.0)	(39.0, 9603195.0)	(40.0, 13113314.0)
SRR22134171_1_paired	(22.0, 13.0)	(23.0, 63.0)	(24.0, 304.0)	(25.0, 939.0)	(26.0, 2508.0)	(27.0, 5752.0)	(28.0, 12519.0)	(29.0, 24177.0)	(30.0, 43965.0)	(31.0, 73427.0)	(32.0, 116950.0)	(33.0, 181382.0)	(34.0, 278808.0)	(35.0, 434842.0)	(36.0, 703117.0)	(37.0, 1252014.0)	(38.0, 2817671.0)	(39.0, 9525407.0)	(40.0, 12979565.0)																				
SRR22134171_2	(11.0, 1.0)	(12.0, 49.0)	(13.0, 1119.0)	(14.0, 9251.0)	(15.0, 26125.0)	(16.0, 42858.0)	(17.0, 53778.0)	(18.0, 63021.0)	(19.0, 75825.0)	(20.0, 88453.0)	(21.0, 100993.0)	(22.0, 114597.0)	(23.0, 131501.0)	(24.0, 152203.0)	(25.0, 179561.0)	(26.0, 213114.0)	(27.0, 249163.0)	(28.0, 290967.0)	(29.0, 335829.0)	(30.0, 390905.0)	(31.0, 465342.0)	(32.0, 566679.0)	(33.0, 699480.0)	(34.0, 884725.0)	(35.0, 1154873.0)	(36.0, 1586669.0)	(37.0, 2386685.0)	(38.0, 4222318.0)	(39.0, 9158794.0)	(40.0, 6696938.0)									
SRR22134171_2_paired	(18.0, 25.0)	(19.0, 127.0)	(20.0, 628.0)	(21.0, 2159.0)	(22.0, 5751.0)	(23.0, 12598.0)	(24.0, 24629.0)	(25.0, 42926.0)	(26.0, 68560.0)	(27.0, 103014.0)	(28.0, 146574.0)	(29.0, 201642.0)	(30.0, 269645.0)	(31.0, 355538.0)	(32.0, 468736.0)	(33.0, 619647.0)	(34.0, 830890.0)	(35.0, 1131956.0)	(36.0, 1591017.0)	(37.0, 2411130.0)	(38.0, 4254007.0)	(39.0, 9189540.0)	(40.0, 6722684.0)																
SRR22134172_1	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 5.0)	(18.0, 10.0)	(19.0, 50.0)	(20.0, 164.0)	(21.0, 497.0)	(22.0, 1132.0)	(23.0, 2778.0)	(24.0, 5917.0)	(25.0, 11355.0)	(26.0, 20249.0)	(27.0, 32249.0)	(28.0, 46973.0)	(29.0, 67602.0)	(30.0, 98793.0)	(31.0, 138422.0)	(32.0, 184137.0)	(33.0, 241538.0)	(34.0, 319648.0)	(35.0, 433403.0)	(36.0, 621826.0)	(37.0, 1005015.0)	(38.0, 2142124.0)	(39.0, 7679077.0)	(40.0, 12329172.0)										
SRR22134172_1_paired	(21.0, 1.0)	(22.0, 9.0)	(23.0, 36.0)	(24.0, 201.0)	(25.0, 646.0)	(26.0, 1750.0)	(27.0, 4093.0)	(28.0, 9120.0)	(29.0, 17950.0)	(30.0, 32214.0)	(31.0, 54524.0)	(32.0, 87548.0)	(33.0, 133850.0)	(34.0, 202874.0)	(35.0, 310395.0)	(36.0, 495261.0)	(37.0, 877369.0)	(38.0, 2006946.0)	(39.0, 7495313.0)	(40.0, 12237071.0)																			
SRR22134172_2	(12.0, 23.0)	(13.0, 299.0)	(14.0, 1891.0)	(15.0, 7340.0)	(16.0, 20649.0)	(17.0, 41482.0)	(18.0, 61434.0)	(19.0, 78152.0)	(20.0, 89160.0)	(21.0, 100384.0)	(22.0, 112838.0)	(23.0, 126464.0)	(24.0, 143200.0)	(25.0, 163565.0)	(26.0, 188870.0)	(27.0, 216606.0)	(28.0, 248891.0)	(29.0, 287623.0)	(30.0, 334651.0)	(31.0, 395999.0)	(32.0, 477322.0)	(33.0, 587555.0)	(34.0, 743721.0)	(35.0, 979623.0)	(36.0, 1359090.0)	(37.0, 2064158.0)	(38.0, 3631417.0)	(39.0, 7569224.0)	(40.0, 5350507.0)										
SRR22134172_2_paired	(17.0, 1.0)	(18.0, 21.0)	(19.0, 105.0)	(20.0, 601.0)	(21.0, 2279.0)	(22.0, 6212.0)	(23.0, 13749.0)	(24.0, 26745.0)	(25.0, 46001.0)	(26.0, 72843.0)	(27.0, 106725.0)	(28.0, 148521.0)	(29.0, 200190.0)	(30.0, 259634.0)	(31.0, 335070.0)	(32.0, 430366.0)	(33.0, 553354.0)	(34.0, 723631.0)	(35.0, 970708.0)	(36.0, 1362698.0)	(37.0, 2081648.0)	(38.0, 3656281.0)	(39.0, 7596659.0)	(40.0, 5373129.0)															
