Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR22134162_2	(1, 0.22949839479708026)	(2, 0.00037915907627287615)	(3, 0.00042449331365332875)	(4, 0.01740834715409379)	(5, 0.00019370083244375197)	(6, 0.002048283270734994)	(7, 0.001376512298642833)	(8, 0.0015454853652427016)	(9, 0.015224061171217442)	(10, 0.002728296831441783)	(12, 0.010876095677001306)	(14, 0.0011354165816649716)	(16, 0.00040594748927041637)	(18, 0.002534595998998031)	(20, 0.014156645945623148)	(22, 0.003226973442626762)	(24, 0.007335903867018692)	(26, 0.002402714581163987)	(28, 0.0005811024973312558)	(30, 0.00896381511840767)	(32, 0.002538717293305345)	(34, 5.357682599508033e-05)	(36, 0.005464836251498194)	(38, 0.0007232871509335844)	(40, 0.008425986211303211)	(42, 0.0008263195086164311)	(44, 0.00745130010762348)	(46, 2.4727765843883226e-05)	(48, 0.007704759707523282)	(50, 2.6788412997540164e-05)	(52, 0.009767467508333875)	(54, 0.00013600271214135774)	(56, 0.0001978221267510658)	(58, 0.008689749046971298)	(60, 0.0011395378759722855)	(62, 5.357682599508033e-05)	(64, 0.009435712649558827)	(66, 0.00020400790215335904)	(68, 0.0004883938457429676)	(70, 0.007550991968291768)	(72, 0.0009111986311771674)	(74, 0.0)	(76, 0.0)
SRR22134162_2_paired	(1, 0.20862974140775115)	(2, 0.00034471836443333804)	(3, 0.00026958743885171306)	(4, 0.009431140893599274)	(5, 0.0001502618511632499)	(6, 0.0014937795792111315)	(7, 0.0012904841335196757)	(8, 0.0009590241677183893)	(9, 0.008136237293868915)	(10, 0.00222078177086862)	(12, 0.006843543427243896)	(14, 0.0009126197725062091)	(16, 0.00022318304363953297)	(18, 0.002366624155821186)	(20, 0.009614548741342653)	(22, 0.0028814919693658514)	(24, 0.003946583326140652)	(26, 0.0021522800446030204)	(28, 0.0005082386142286395)	(30, 0.004971899487019298)	(32, 0.0022693958991861422)	(34, 1.7677864842735282e-05)	(36, 0.002927237239445486)	(38, 0.0005738474794048577)	(40, 0.004842408790421791)	(42, 0.0007431214652504167)	(44, 0.00422078029942211)	(46, 0.0)	(48, 0.0035734527123278547)	(50, 0.0)	(52, 0.005083299678861812)	(54, 5.1814674947733075e-05)	(56, 0.00018058460835848503)	(58, 0.0037817435470777648)	(60, 0.0009790703984932105)	(62, 1.1356475847512783e-05)	(64, 0.003945176479945994)	(66, 9.356356817218435e-05)	(68, 0.00032484788711728085)	(70, 0.0025826312999087477)	(72, 0.000629643621710112)	(74, 0.0)	(76, 0.0)
SRR22134163_1	(1, 0.2073016924181601)	(2, 0.0)	(3, 0.0)	(4, 0.002350428800062328)	(5, 4.3769623837287296e-05)	(6, 0.0012518112417464167)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002735601489830456)	(12, 0.0)	(14, 0.0016698111493925103)	(16, 3.501569906982984e-05)	(18, 0.0)	(20, 0.002788125038435201)	(22, 6.565443575593095e-05)	(24, 2.188481191864365e-06)	(26, 0.0006806176506698175)	(28, 3.2827217877965475e-05)	(30, 4.37696238372873e-06)	(32, 0.0027027742719524907)	(34, 0.0006259056208732084)	(36, 0.0028822298558394853)	(38, 0.001993706453052218)	(40, 0.0013853086550845817)	(42, 0.0)	(44, 0.00023197902664489213)	(46, 0.0011401988007734795)	(48, 0.00019915180589325646)	(50, 2.1884813834423788e-05)	(52, 0.0001247434388562156)	(54, 0.0006828061916340222)	(56, 0.0004376962766884758)	(58, 0.0)	(60, 0.0006915601171677918)	(62, 0.0007156334750316794)	(64, 0.00039392709731273)	(66, 0.001928095096539021)	(68, 0.0017531145086027693)	(70, 0.0029570769878386432)	(72, 0.000635479264718387)	(74, 0.0007040074230916913)	(76, 0.0)
SRR22134163_1_paired	(1, 0.19956281975660722)	(2, 0.0)	(3, 0.0)	(4, 0.0019167208571687598)	(5, 1.3990663191012845e-05)	(6, 0.0010492997393259634)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002611590462322398)	(12, 0.0)	(14, 0.001028313744539444)	(16, 2.098599478651927e-05)	(18, 0.0)	(20, 0.0027538288714310283)	(22, 5.3630875565549235e-05)	(24, 0.0)	(26, 0.0005922714084195439)	(28, 3.0313103580527835e-05)	(30, 0.0)	(32, 0.0026325764571089173)	(34, 0.0005899396312210416)	(36, 0.002840975222357626)	(38, 0.0014316855364610952)	(40, 0.0013191165623784962)	(42, 0.0)	(44, 0.00019476526350731128)	(46, 0.0010699476765016257)	(48, 0.00021219310128634526)	(50, 2.3641080547738306e-05)	(52, 0.00011850167618250927)	(54, 0.0004655149162617043)	(56, 0.00038781878793590446)	(58, 0.0)	(60, 0.0006919373479840489)	(62, 0.000719033519574959)	(64, 0.00030371560893042505)	(66, 0.0017930848545447888)	(68, 0.00170872212053901)	(70, 0.002792508151652769)	(72, 0.0004488583252299524)	(74, 0.0004642909090008648)	(76, 0.0)
SRR22134163_2	(1, 0.22629770916354278)	(2, 0.0003676648402332133)	(3, 0.000485842824593889)	(4, 0.016934467462646458)	(5, 0.00022322508157016522)	(6, 0.002087811057038604)	(7, 0.00134372745180472)	(8, 0.001313088715118619)	(9, 0.0149910961642709)	(10, 0.0026590046481152034)	(12, 0.010762950501588946)	(14, 0.0010548479344786239)	(16, 0.00035015699069829837)	(18, 0.002597727174743001)	(20, 0.014085064950839051)	(22, 0.0033133605244826483)	(24, 0.007237307301495455)	(26, 0.0025145648894521555)	(28, 0.0005142930800881258)	(30, 0.008740793880306274)	(32, 0.0026239889490453734)	(34, 4.5958105029151665e-05)	(36, 0.00541430246867244)	(38, 0.0007462720864257485)	(40, 0.008397202333183567)	(42, 0.0007725338945416387)	(44, 0.0075940300681571855)	(46, 1.969633158888031e-05)	(48, 0.007572145255280652)	(50, 1.969633158888031e-05)	(52, 0.009725610842331566)	(54, 0.00010942406438266839)	(56, 0.00022103661005299011)	(58, 0.008591977535327122)	(60, 0.0011839683766204719)	(62, 3.720418189010725e-05)	(64, 0.009150048073315235)	(66, 0.0001531974719790881)	(68, 0.0004618091190579584)	(70, 0.007431106366098588)	(72, 0.0008601250209271489)	(74, 0.0)	(76, 0.0)
SRR22134163_2_paired	(1, 0.20970605057009156)	(2, 0.000331112362187304)	(3, 0.0003031310358052783)	(4, 0.009989333518383171)	(5, 0.00017255151268915844)	(6, 0.001422384091086306)	(7, 0.0012171876976181176)	(8, 0.0007554958123146937)	(9, 0.008814117810338093)	(10, 0.0021429032454234674)	(12, 0.007193532657379105)	(14, 0.0008441033458577751)	(16, 0.0001702197354906563)	(18, 0.0024600249444197584)	(20, 0.009956688637604141)	(22, 0.002910057943730672)	(24, 0.0042601569416634115)	(26, 0.002233842556165051)	(28, 0.0004407058905169047)	(30, 0.00524883047382832)	(32, 0.002317786535311128)	(34, 1.8654217588017128e-05)	(36, 0.003147103796662288)	(38, 0.0006147899432240319)	(40, 0.005267713688588507)	(42, 0.0006994025717314201)	(44, 0.004557901113348486)	(46, 2.3566964752634775e-06)	(48, 0.0038916491207919243)	(50, 2.36615081187485e-06)	(52, 0.00540554188957118)	(54, 4.275993120782267e-05)	(56, 0.0002189755448111555)	(58, 0.0040375065037123)	(60, 0.0010083531063332964)	(62, 9.577274659596722e-06)	(64, 0.00403579979966405)	(66, 6.733253736655232e-05)	(68, 0.0003157478340421671)	(70, 0.0028146005919890233)	(72, 0.0006605165773876521)	(74, 0.0)	(76, 0.0)
SRR22134164_1	(1, 0.2108928010066141)	(2, 0.0)	(3, 0.0)	(4, 0.002402488439604969)	(5, 5.302606063644243e-05)	(6, 0.0011706522617429985)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00026513030318221217)	(12, 0.0)	(14, 0.0016172948494114943)	(16, 2.0394638706324014e-05)	(18, 0.0)	(20, 0.0026920923092347703)	(22, 4.486820515391283e-05)	(24, 0.0)	(26, 0.0006281548721547796)	(28, 6.118391611897204e-05)	(30, 0.0)	(32, 0.002600316435056312)	(34, 0.0005751288115183372)	(36, 0.0027451183698712126)	(38, 0.0020292665512792393)	(40, 0.0013072963410753692)	(42, 0.0)	(44, 0.0002834854780179038)	(46, 0.001066639604340746)	(48, 0.0002406567367346234)	(50, 2.0394638706324014e-05)	(52, 0.00011828890449667929)	(54, 0.0005934839863540288)	(56, 0.0004160506296090099)	(58, 0.0)	(60, 0.0006689441495674277)	(62, 0.0007382859211689293)	(64, 0.0004140114359340145)	(66, 0.0018886058268955703)	(68, 0.0017847929682991805)	(70, 0.0030008082802561544)	(72, 0.0006116318175289956)	(74, 0.0007157314918993509)	(76, 0.0)
SRR22134164_1_paired	(1, 0.20176888476438054)	(2, 0.0)	(3, 0.0)	(4, 0.0018153163261399074)	(5, 1.3218322763154665e-05)	(6, 0.0010089986375874727)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002599603476753751)	(12, 0.0)	(14, 0.000931891754802404)	(16, 1.5421376557013778e-05)	(18, 0.0)	(20, 0.002643664552630933)	(22, 3.9654968289463994e-05)	(24, 0.0)	(26, 0.0005595756636402142)	(28, 5.9482452434195994e-05)	(30, 0.0)	(32, 0.0025158874325871047)	(34, 0.0005683878788156506)	(36, 0.002708425937332445)	(38, 0.0014652758638899071)	(40, 0.0012685530581046142)	(42, 0.0)	(44, 0.00023289364049091494)	(46, 0.0010429466529673734)	(48, 0.00021869088023994228)	(50, 2.0158377653766426e-05)	(52, 0.00011462563548396122)	(54, 0.0004553361759384721)	(56, 0.0003750445026451256)	(58, 0.0)	(60, 0.000677886281651593)	(62, 0.0007355923009640483)	(64, 0.00028642649395967443)	(66, 0.0017798603205678655)	(68, 0.0017502872875517586)	(70, 0.002866094185651023)	(72, 0.0004169598463315106)	(74, 0.00048578544194769987)	(76, 0.0)
SRR22134164_2	(1, 0.23123849258004295)	(2, 0.00038749813542015627)	(3, 0.0004976291844343059)	(4, 0.01700912868107423)	(5, 0.00019170960383944573)	(6, 0.0021169634977164327)	(7, 0.0013990722152538275)	(8, 0.0014398614926664753)	(9, 0.015002296232371945)	(10, 0.0027145264118117263)	(12, 0.010805079586610462)	(14, 0.0010197319353162006)	(16, 0.00035690617736067025)	(18, 0.002571763940867458)	(20, 0.01409065588219926)	(22, 0.003318207717518917)	(24, 0.007264570307192614)	(26, 0.0025065010970072212)	(28, 0.0005832866670008668)	(30, 0.008804365529520077)	(32, 0.0026105137544094738)	(34, 7.342069934276646e-05)	(36, 0.005433131751364718)	(38, 0.0007586805598752533)	(40, 0.008278183850896917)	(42, 0.000783154126322842)	(44, 0.007486871869091546)	(46, 3.059195805948602e-05)	(48, 0.007637792195518344)	(50, 3.059195805948602e-05)	(52, 0.009746597837752245)	(54, 0.00013460461546173849)	(56, 0.0001651965735212245)	(58, 0.008771734107589958)	(60, 0.0012195993946381761)	(62, 5.914445224833964e-05)	(64, 0.00916535923313476)	(66, 0.0001876376600123486)	(68, 0.000520152067986935)	(70, 0.007448310287263028)	(72, 0.0008899589309526898)	(74, 0.0)	(76, 0.0)
SRR22134164_2_paired	(1, 0.21251097506323757)	(2, 0.00033045806907886665)	(3, 0.00026877256285081155)	(4, 0.009526004604646796)	(5, 0.00013658933521926487)	(6, 0.0014275788584207038)	(7, 0.001290989523201439)	(8, 0.0008856276251313626)	(9, 0.008318731125612003)	(10, 0.0021567896641880697)	(12, 0.0069880866341210995)	(14, 0.0007953024195831391)	(16, 0.00018946262627188352)	(18, 0.0024079377966880083)	(20, 0.009618532863988878)	(22, 0.0029036249003063083)	(24, 0.0040602281420823415)	(26, 0.002240505708354716)	(28, 0.0005044993187937364)	(30, 0.004998729058266323)	(32, 0.002288972891819616)	(34, 2.8639699320168446e-05)	(36, 0.0030200861743012093)	(38, 0.0006144131150236604)	(40, 0.004930091523770087)	(42, 0.0007419887925480866)	(44, 0.004359048863111276)	(46, 0.0)	(48, 0.003721798475137513)	(50, 0.0)	(52, 0.005258480661959876)	(54, 5.190660052682492e-05)	(56, 0.00017420508635414004)	(58, 0.0040098749066451)	(60, 0.0010117976285600866)	(62, 6.839075192896115e-06)	(64, 0.003902168096714882)	(66, 8.941388852174425e-05)	(68, 0.00030814923179776286)	(70, 0.0026435141576214923)	(72, 0.0006151504832181145)	(74, 0.0)	(76, 0.0)
SRR22134165_1	(1, 0.20730960782371738)	(2, 0.0)	(3, 0.0)	(4, 0.0024469076072286054)	(5, 3.883980328934294e-05)	(6, 0.001281713508548317)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00023735435343487352)	(12, 0.0)	(14, 0.0017348445469239845)	(16, 3.6682036439935e-05)	(18, 0.0)	(20, 0.0027166284634045977)	(22, 5.3944171235198523e-05)	(24, 0.0)	(26, 0.0006084902515330395)	(28, 4.5313103837566764e-05)	(30, 0.0)	(32, 0.0026475799242235438)	(34, 0.0005761237487919203)	(36, 0.002751152732995125)	(38, 0.0021426624814620855)	(40, 0.0013701819493740425)	(42, 0.0)	(44, 0.00024166988713368942)	(46, 0.0010508324556616673)	(48, 0.00018556794904908293)	(50, 2.157766849407941e-05)	(52, 9.709950822335735e-05)	(54, 0.0006430145211235664)	(56, 0.0003905557997428374)	(58, 0.0)	(60, 0.0006257523863283029)	(62, 0.0006667499708539636)	(64, 0.0004682357599417834)	(66, 0.0018384676173889085)	(68, 0.0018947030640995527)	(70, 0.002848755860910531)	(72, 0.0006816176947434228)	(74, 0.0006387292614603309)	(76, 0.0)
SRR22134165_1_paired	(1, 0.19993258322591562)	(2, 0.0)	(3, 0.0)	(4, 0.0018808636153141846)	(5, 1.3796065638001354e-05)	(6, 0.0011634682021381142)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00023453311584602303)	(12, 0.0)	(14, 0.0010140108243930997)	(16, 2.759213127600271e-05)	(18, 0.0)	(20, 0.0026810354223182633)	(22, 4.368754118700429e-05)	(24, 0.0)	(26, 0.0005633393468850553)	(28, 4.5986885460004516e-05)	(30, 0.0)	(32, 0.0025890616513982545)	(34, 0.0005449445927010535)	(36, 0.0027047180010643618)	(38, 0.0016024615651550628)	(40, 0.0013069688292544341)	(42, 0.0)	(44, 0.00020803275489594686)	(46, 0.0010213035821655754)	(48, 0.00018340953922300058)	(50, 2.3277736709384185e-05)	(52, 9.10075147938549e-05)	(54, 0.0005191166094445831)	(56, 0.00036536401591638076)	(58, 0.0)	(60, 0.0006291954630217718)	(62, 0.000669765133343188)	(64, 0.0003034286448966101)	(66, 0.00175155076395511)	(68, 0.0018733950659816812)	(70, 0.0027479518205970996)	(72, 0.00042136406721807917)	(74, 0.00039115035198736937)	(76, 0.0)
